Location,Reporting Mark,Railroad,Car Type,Car Class,Brand,UPC,Car #,DCC ID,Wheel Arrangement,Tender Axles,Notes,Traction Drivers,Dates,Capacity (Lettering),Weight (Lettering),Load Limit,Built (Lettering),Alt Date,Reweight date,Other Lettering,MSRP,Price,Load,Repairs Req’d
Bag 1,PRR,Pennsylvania,Steam Locomotive,T1,Broadway Limited Imports,836563000177,5528,5528,4-4-4-4,8-8,,No,,,,,,,,,,,,
Bag 1,C&PRR,Pennsylvania Lines,Wooden Box,X23,Rapido,679164105465,511123,,4-4,,Lots of random lettering,,1916+?,100000,47600,,10/1913,,,P364 7/21 16,,,,
Bag 1,PRR,Pennsylvania,E6,,Broadway Limited Imports,836563067002,460,4600,4-4-2,4-4,,Yes,,,,,,,,,,,,
Bag 1,PRR,Pennsylvania,Wooden Cabin Car,N6B,Walthers Proto,616374199679,980310,,4-4,,"Lake Region, Center Coupla",,,,,,7/1920,,,RP KD TH 4 9 56,$54.99,$46.00,,
Bag 1,PRR,Pennsylvania,Electric Locomotive,GG1,Broadway Limited Imports,836563063684,4907,4907,4-6-6-4,,Tuscan Red,,,,,,,,,,,,,
Bag 1,PRR,Pennsylvania,Electric Locomotive,GG1,Broadway Limited Imports,836563046847,4813,4813,4-6-6-4,,Green,,,,,,,,,,,,,
Bag 1,,Amtrak,Electric Locomotive,P40DC,Athearn Genesis,797534823808,824,8240,4-4,,Phase V Paint,,,,,,,,,,,$242.99,,
JD-F1,PRR,Pennsylvania,Metal Box,X31A,,,68804,,4-4,,,,,100000,49600,119400,4-1934,,,,,,,
JD-F1,PRR,Pennsylvania,Metal Gondola,,,,6077,,4-4,,,,,100000,40000,121000,3-1940,,,,,,5 Metal Containers,
JD-F1,PRR,Pennsylvania,Metal Box,X31A,,,77657,,4-4,,,,,100000,49600,119400,4-1934,,,,,,,
JD-F1,NH,New York New Haven and Hartford,Metal Box,,,,30495,,4-4,,,,,120000,44600,120000,9-1941,,,,,,,
JD-F1,PRR,Pennsylvania,2 Bay Hopper,GLD,,,220265,,4-4,,,,,100000,37700,131300,7-1919,,,,,,Fake Coal,
JD-F1,PRR,Pennsylvania,2 Bay Hopper,GLD,,,220190,,4-4,,,,,100000,37700,131300,7-1919,,,,,,Fake Coal,
JD-F1,PRR,Pennsylvania,2 Bay Hopper,GLD,,,220248,,4-4,,,,,100000,37700,131300,7-1919,,,,,,Fake Coal,
JD-F1,PRR,Pennsylvania,Metal Box,,,,92487,,4-4,,,,,90000,47200,99000,9-1952,,,,,,,
JD-F1,RDG,Reading,Metal Box,,,,114023,,4-4,,,,,100000,48100,119200,8-1948,,,,,,,
JD-F1,PRR,Pennsylvania,2 Bay Hopper,GLD,,,220057,,4-4,,,,,100000,37700,131300,7-1919,,,,,,Fake Coal,
JD-F1,PRR,Pennsylvania,2 Bay Hopper,GLD,,,220179,,4-4,,,,,100000,37700,131300,7-1919,,,,,,Fake Coal,
JD-F1,PRR,Pennsylvania,2 Bay Hopper,GLD,,,220022,,4-4,,,,,100000,37700,131300,7-1919,,,,,,Fake Coal,
JD-F1,PRR,Pennsylvania,Metal Gondola,G43,,,387690,,4-4,,,,,200000,62200,200800,11-1966,,,,,,Scrap Metal,Yes. Broken end frame
JD-F1,PRR,Pennsylvania,Metal Gondola,G33,,,441375,,4-4,,,,,140000,65700,114800,9-1948,,,,,,,
JD-F1,PRR,Pennsylvania,Metal Gondola,G33,,,442439,,4-4,,,,,140000,65700,114800,8-1951,,,,,,,
JD-F1,PRR,Pennsylvania,Metal Flat,,,,425500,,4-4,,,,,100000,44400,125600,10-1945,4-1958,,,,,,
JD-F1,PRR,Pennsylvania,Metal Flat,,Bachmann,,469530,,4-4,,,,,159000,61330,152100,2-1956,,,,,,,
JD-F1,PRR,Pennsylvania,Wooden Cabin Car,N6B,,,980015,,4-4,,,,,,,,4-1910,,,,,,,
JD-F2,PRR,Pennsylvania,Ore Jenny,G39A,,,13085,,4-4,,,,,140000,43000,177000,4-1964,,,,,,,
JD-F2,PRR,Pennsylvania,Ore Jenny,G39A,,,13083,,4-4,,,,,140000,43000,177000,4-1964,,,,,,,
JD-F2,PRR,Pennsylvania,Ore Jenny,G39A,,,13088,,4-4,,,,,140000,43000,177000,4-1964,,,,,,,
JD-F2,PRR,Pennsylvania,Ore Jenny,G39A,,,13090,,4-4,,,,,140000,43000,177000,4-1964,,,,,,,
JD-F2,ABEL,Amherst Belt Lines,2 Bay Hopper,,,,201728,,4-4,,,,,100000,35400,133600,1-1927,2-1968,,,,,,
JD-F2,ABEL,Amherst Belt Lines,2 Bay Hopper,,,,201729,,4-4,,,,,100000,35400,133600,1-1927,2-1968,,,,,,
JD-F2,PRR,Pennsylvania,3 Bay Hopper,H2a,,,10657,,4-4,,Leased from N&W,,,140000,51800,158200,5-1956,,8-60,,,,,
